Year,City,Sport,Athlete,Country,Gender,Event,Medal
1948,St.Moritz,Skating,"RADA, Edi",AUT,Men,Individual,Bronze
1948,St.Moritz,Skating,"PAWLIK, Eva",AUT,Women,Individual,Silver
1948,St.Moritz,Skiing,"MAHRINGER, Erika",AUT,Women,Alpine Combined,Bronze
1948,St.Moritz,Skiing,"BEISER-JOCHUM, Trude",AUT,Women,Alpine Combined,Gold
1948,St.Moritz,Skiing,"GABL, Franz",AUT,Men,Downhill,Silver
1948,St.Moritz,Skiing,"HAMMERER, Resi",AUT,Women,Downhill,Bronze
1948,St.Moritz,Skiing,"BEISER-JOCHUM, Trude",AUT,Women,Downhill,Silver
1948,St.Moritz,Skiing,"MAHRINGER, Erika",AUT,Women,Slalom,Bronze
1948,St.Moritz,Bobsleigh,"HOUBEN, Max",BEL,Men,Four-Man,Silver
1948,St.Moritz,Bobsleigh,"MANSVELD, Freddy",BEL,Men,Four-Man,Silver
1948,St.Moritz,Bobsleigh,"MOUVET, Jacques",BEL,Men,Four-Man,Silver
1948,St.Moritz,Bobsleigh,"NIELS, Louis-Georges",BEL,Men,Four-Man,Silver
1948,St.Moritz,Skating,"BAUGNIET, Pierre",BEL,Men,Pairs,Gold
1948,St.Moritz,Skating,"LANNOY, Micheline",BEL,Women,Pairs,Gold
1948,St.Moritz,Ice Hockey,"BROOKS, H.",CAN,Men,Ice Hockey,Gold
1948,St.Moritz,Ice Hockey,"DOWEY, Murray Albert",CAN,Men,Ice Hockey,Gold
1948,St.Moritz,Ice Hockey,"DUNSTER, Bernard Frank",CAN,Men,Ice Hockey,Gold
1948,St.Moritz,Ice Hockey,"FORBES, R.A.",CAN,Men,Ice Hockey,Gold
1948,St.Moritz,Ice Hockey,"GILPIN, A.",CAN,Men,Ice Hockey,Gold
1948,St.Moritz,Ice Hockey,"GRAVELLE, Jean Orval",CAN,Men,Ice Hockey,Gold
1948,St.Moritz,Ice Hockey,"GUZZO, Patrick",CAN,Men,Ice Hockey,Gold
1948,St.Moritz,Ice Hockey,"HALDER, Walter Edwin",CAN,Men,Ice Hockey,Gold
1948,St.Moritz,Ice Hockey,"HIBBERD, Thomas Edward",CAN,Men,Ice Hockey,Gold
1948,St.Moritz,Ice Hockey,"KING, Ross",CAN,Men,Ice Hockey,Gold
1948,St.Moritz,Ice Hockey,"LAPERRIERE, Henri-Andre",CAN,Men,Ice Hockey,Gold
