Year,City,Sport,Athlete,Country,Gender,Event,Medal
1936,Garmisch Partenkirchen,Skating,"KASPAR, Felix",AUT,Men,Individual,Bronze
1936,Garmisch Partenkirchen,Skating,"SCHeFER, Karl",AUT,Men,Individual,Gold
1936,Garmisch Partenkirchen,Skating,"PAUSIN, Erik",AUT,Men,Pairs,Silver
1936,Garmisch Partenkirchen,Skating,"PAUSIN, Ilse",AUT,Women,Pairs,Silver
1936,Garmisch Partenkirchen,Skating,"STIEPL, Max",AUT,Men,10000M,Bronze
1936,Garmisch Partenkirchen,Ice Hockey,"DEACON, Maxwell Arnold",CAN,Men,Ice Hockey,Silver
1936,Garmisch Partenkirchen,Ice Hockey,"FARGUHARSON, Hugh",CAN,Men,Ice Hockey,Silver
1936,Garmisch Partenkirchen,Ice Hockey,"FARMER-HORN, Kenneth",CAN,Men,Ice Hockey,Silver
1936,Garmisch Partenkirchen,Ice Hockey,"HAGGARTY, James",CAN,Men,Ice Hockey,Silver
1936,Garmisch Partenkirchen,Ice Hockey,"KITCHEN, Walter",CAN,Men,Ice Hockey,Silver
1936,Garmisch Partenkirchen,Ice Hockey,"MILTON, Raymond",CAN,Men,Ice Hockey,Silver
1936,Garmisch Partenkirchen,Ice Hockey,"MOORE, Francis",CAN,Men,Ice Hockey,Silver
1936,Garmisch Partenkirchen,Ice Hockey,"MURRAY, Herman",CAN,Men,Ice Hockey,Silver
1936,Garmisch Partenkirchen,Ice Hockey,"NASH, Arthur",CAN,Men,Ice Hockey,Silver
1936,Garmisch Partenkirchen,Ice Hockey,"NEVILLE, David John",CAN,Men,Ice Hockey,Silver
1936,Garmisch Partenkirchen,Ice Hockey,"SINCLAIR, Alexander",CAN,Men,Ice Hockey,Silver
1936,Garmisch Partenkirchen,Ice Hockey,"ST.GERMAIN, Ralph",CAN,Men,Ice Hockey,Silver
1936,Garmisch Partenkirchen,Ice Hockey,"THOMSON, William",CAN,Men,Ice Hockey,Silver
1936,Garmisch Partenkirchen,Skating,"WASENIUS, Birger",FIN,Men,10000M,Silver
1936,Garmisch Partenkirchen,Skating,"WASENIUS, Birger",FIN,Men,1500M,Bronze
1936,Garmisch Partenkirchen,Skating,"OJALA, Antero",FIN,Men,5000M,Bronze
1936,Garmisch Partenkirchen,Skating,"WASENIUS, Birger",FIN,Men,5000M,Silver
1936,Garmisch Partenkirchen,Skiing,"NIEMI, Pekka",FIN,Men,18KM,Bronze
1936,Garmisch Partenkirchen,Skiing,"JALKANEN, Kalle",FIN,Men,4X10KM Relay,Gold
1936,Garmisch Partenkirchen,Skiing,"KARPPINEN, Klaus",FIN,Men,4X10KM Relay,Gold
1936,Garmisch Partenkirchen,Skiing,"LeHDE, Matti",FIN,Men,4X10KM Relay,Gold
1936,Garmisch Partenkirchen,Skiing,"NURMELA, Sulo",FIN,Men,4X10KM Relay,Gold
1936,Garmisch Partenkirchen,Skiing,"ALLAIS, Emile",FRA,Men,Alpine Combined,Bronze
1936,Garmisch Partenkirchen,Bobsleigh,"CARDNO, James Farquhar",GBR,Men,Four-Man,Bronze
1936,Garmisch Partenkirchen,Bobsleigh,"DUGDALE, Gary",GBR,Men,Four-Man,Bronze
1936,Garmisch Partenkirchen,Bobsleigh,"GREEN, Charles Patrick",GBR,Men,Four-Man,Bronze
1936,Garmisch Partenkirchen,Bobsleigh,"MCEVOY, Frederick James",GBR,Men,Four-Man,Bronze
1936,Garmisch Partenkirchen,Ice Hockey,"ARCHER, Alexander",GBR,Men,Ice Hockey,Gold
1936,Garmisch Partenkirchen,Ice Hockey,"BORLAND, James Andrew",GBR,Men,Ice Hockey,Gold
1936,Garmisch Partenkirchen,Ice Hockey,"BRENCHLEY, Edgar",GBR,Men,Ice Hockey,Gold
1936,Garmisch Partenkirchen,Ice Hockey,"CHAPPELL, James",GBR,Men,Ice Hockey,Gold
1936,Garmisch Partenkirchen,Ice Hockey,"COWARD, John",GBR,Men,Ice Hockey,Gold
1936,Garmisch Partenkirchen,Ice Hockey,"DAILLEY, Gordon Debenham",GBR,Men,Ice Hockey,Gold
1936,Garmisch Partenkirchen,Ice Hockey,"DAVEY, John Gerald",GBR,Men,Ice Hockey,Gold
1936,Garmisch Partenkirchen,Ice Hockey,"ERHARDT, Carl",GBR,Men,Ice Hockey,Gold
1936,Garmisch Partenkirchen,Ice Hockey,"FOSTER, James",GBR,Men,Ice Hockey,Gold
1936,Garmisch Partenkirchen,Ice Hockey,"KILPATRICK, John",GBR,Men,Ice Hockey,Gold
